,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s08e14,3,3,3,3,3,3,2,3,3,3
s08e15,2,2,3,2,1,2,2,2,2,2
s08e16,3,3,1,3,3,3,3,3,3,3
s08e17,2,2,1,2,2,2,3,2,2,2
s08e18,2,2,3,2,1,2,1,2,2,2
s08e19,2,2,2,2,2,2,2,2,2,2
s08e20,3,3,3,3,3,3,3,3,3,3
s08e21,3,3,3,3,3,3,2,3,4,3
s08e22,2,2,2,2,1,2,2,2,2,2
s08e23,2,2,1,2,2,2,2,2,2,2
s08e24,2,2,1,2,2,2,2,2,2,2
s09e01,2,2,2,2,1,2,1,2,2,2
s09e02,2,2,2,2,1,2,1,2,2,2
s09e03,2,2,2,2,2,2,2,2,2,2
s09e04,2,2,2,2,2,2,2,2,2,2
s09e05,2,2,3,2,2,2,2,2,2,2
s09e06,2,2,2,2,2,2,2,2,2,2
s09e07,2,2,2,2,2,2,2,2,2,2
s09e08,2,2,2,2,2,2,2,2,2,2
s09e09,3,3,3,3,3,3,3,3,4,3
s09e10,3,3,3,3,3,3,3,3,3,3
s09e11,2,2,2,2,1,2,2,2,2,2
s09e12,2,2,2,2,1,2,1,2,2,2
s09e13,1,1,1,1,1,1,1,1,1,1
s09e14,2,2,1,2,2,2,2,2,2,2
s09e15,3,3,3,3,2,3,3,3,5,3
s09e16,2,2,2,2,1,2,1,2,2,2
s09e17,3,3,3,3,1,3,1,3,2,3
s09e18,2,2,2,2,1,2,1,2,3,2
s09e19,2,2,1,2,2,2,2,2,2,2
s09e20,2,2,1,2,2,2,2,2,2,2
s09e21,2,2,2,2,1,2,1,2,2,2
s09e22,2,2,2,2,1,2,1,2,2,2
s09e23,2,2,2,2,1,2,2,2,2,2
s09e24,2,2,2,2,2,2,2,2,2,2
s10e01,3,3,4,3,1,4,1,3,6,3
s10e02,2,2,2,2,2,2,2,2,2,2
s10e03,3,3,4,3,2,3,3,3,4,3
s10e04,2,2,1,2,2,2,2,2,2,2
s10e05,2,2,1,2,2,2,2,2,2,2
s10e06,3,3,1,3,3,3,3,3,3,3
s10e07,1,1,1,1,1,1,1,1,1,1
s10e08,2,2,3,2,2,2,2,2,2,2
s10e09,2,2,2,2,1,2,1,2,4,2
s10e10,2,2,1,2,2,2,2,2,2,2
s10e11,2,2,2,2,1,2,1,2,2,2
s10e12,3,3,3,3,1,3,1,3,2,3
s10e13,2,2,2,2,2,2,2,2,2,2
s10e14,2,2,2,2,1,2,2,2,2,2
s10e15,2,2,2,2,2,2,2,2,2,2
s10e16,2,2,2,2,1,2,2,2,2,2
s10e17,2,2,2,2,1,2,1,2,2,2
s10e18,2,2,3,2,1,2,1,2,2,2
s10e19,3,3,3,3,2,3,2,3,3,3
s10e20,2,2,2,2,2,2,2,2,2,2
s10e21,2,2,2,2,2,2,2,2,2,2
s10e22,3,3,3,3,1,2,1,3,2,3
s10e23,2,2,2,2,1,2,1,2,1,2
s10e24,2,2,2,2,1,2,1,2,2,2
