speaker1,speaker2,1,2,3,4,5,6,7,8,9
Carol,Jan,0,300,0,0,0,0,0,0,0
Carol,Jim,0,0,20,0,0,0,0,0,0
Carol,Kevin,0,36,17,0,0,0,0,0,0
Carol,Michael,0,835,671,0,0,0,0,0,0
Carol,Pam,0,113,0,0,0,0,0,0,0
Carol,Roy,0,18,0,0,0,0,0,0,0
Cathy,Creed,0,0,0,0,0,0,0,41,0
Cathy,Dwight,0,0,0,0,0,0,0,908,0
Cathy,Erin,0,0,0,0,0,0,0,114,0
Cathy,Gabe,0,0,0,0,0,0,0,101,0
Cathy,Host,0,0,0,0,0,0,0,42,0
Cathy,Jim,0,0,0,0,0,0,0,741,0
Cathy,Kevin,0,0,0,0,0,0,0,47,0
Cathy,Nellie,0,0,0,0,0,0,0,632,0
Cathy,Pam,0,0,0,0,0,0,0,182,0
Cathy,Phyllis,0,0,0,0,0,0,0,21,0
Cathy,Ryan,0,0,0,0,0,0,0,84,0
Cathy,Stanley,0,0,0,0,0,0,0,33,0
Cathy,Todd Packer,0,0,0,0,0,0,0,177,0
Charles,David Wallace,0,0,0,0,711,0,0,0,0
Charles,Dwight,0,0,0,0,1837,0,0,0,0
Charles,Erin,0,0,0,0,59,0,0,0,0
Charles,Jim,0,0,0,0,1968,0,0,0,0
Charles,Kelly,0,0,0,0,383,0,0,0,0
Charles,Kevin,0,0,0,0,597,0,0,0,0
Charles,Michael,0,0,0,0,2718,0,0,0,0
Charles,Oscar,0,0,0,0,257,0,0,0,0
Charles,Pam,0,0,0,0,702,0,0,0,0
Charles,Phyllis,0,0,0,0,149,0,0,0,0
Charles,Ryan,0,0,0,0,51,0,0,0,0
Charles,Stanley,0,0,0,0,510,0,0,0,0
Charles,Toby,0,0,0,0,16,0,0,0,0
Christian,Jan,0,382,0,0,0,0,0,0,0
Christian,Michael,0,580,0,0,0,0,0,0,0
Clark,Creed,0,0,0,0,0,0,0,0,91
Clark,Darryl,0,0,0,0,0,0,0,0,363
Clark,David Wallace,0,0,0,0,0,0,0,0,276
Clark,Dwight,0,0,0,0,0,0,0,0,3970
Clark,Erin,0,0,0,0,0,0,0,0,656
Clark,Esther,0,0,0,0,0,0,0,0,151
Clark,Jan,0,0,0,0,0,0,0,0,69
Clark,Jim,0,0,0,0,0,0,0,0,1282
Clark,Kevin,0,0,0,0,0,0,0,0,360
Clark,Meredith,0,0,0,0,0,0,0,0,301
Clark,Nellie,0,0,0,0,0,0,0,0,204
Clark,Oscar,0,0,0,0,0,0,0,0,505
Clark,Pam,0,0,0,0,0,0,0,0,855
Clark,Pete,0,0,0,0,0,0,0,0,635
Clark,Phyllis,0,0,0,0,0,0,0,0,358
Clark,Stanley,0,0,0,0,0,0,0,0,288
Clark,Toby,0,0,0,0,0,0,0,0,162
Creed,Danny,0,0,0,0,0,0,41,0,0
Creed,Darryl,0,0,0,200,23,112,114,126,56
Creed,David Wallace,0,0,0,0,110,0,0,0,98
Creed,Deangelo,0,0,0,0,0,0,11,0,0
Creed,Dwight,0,170,369,268,775,492,255,606,637
Creed,Erin,0,0,0,0,0,193,203,54,514
Creed,Esther,0,0,0,0,0,0,0,0,40
Creed,Gabe,0,0,0,0,0,93,388,37,0
Creed,Helene,0,0,0,0,0,48,0,0,0
Creed,Holly,0,0,0,65,7,0,0,0,0
Creed,Host,0,0,0,0,0,0,0,56,0
Creed,Jada,0,0,0,0,0,0,21,0,0
Creed,Jan,0,16,0,34,70,0,0,0,0
Creed,Jim,0,160,78,481,654,817,291,514,589
Creed,Karen,0,0,83,0,0,0,0,0,0
Creed,Kelly,0,38,62,203,126,98,188,94,0
