speaker1,speaker2,1,2,3,4,5,6,7,8,9
Brian,Erin,0,0,0,0,0,0,0,0,9
Brian,Jim,0,0,0,0,0,0,0,0,36
Brian,Meredith,0,0,0,0,0,0,0,0,16
Brian,Pam,0,0,0,0,0,0,0,0,117
Captain Jack,Dwight,0,19,0,0,0,0,0,0,0
Captain Jack,Jim,0,4,0,0,0,0,0,0,0
Captain Jack,Meredith,0,8,0,0,0,0,0,0,0
Captain Jack,Michael,0,59,0,0,0,0,0,0,0
Captain Jack,Pam,0,3,0,0,0,0,0,0,0
Captain Jack,Roy,0,6,0,0,0,0,0,0,0
Carol,Dwight,0,34,6,0,0,0,0,0,0
Carol,Jan,0,51,0,0,0,0,0,0,0
Carol,Jim,0,0,6,0,0,0,0,0,0
Carol,Kevin,0,7,3,0,0,0,0,0,0
Carol,Michael,0,117,64,0,0,0,0,0,0
Carol,Pam,0,22,0,0,0,0,0,0,0
Carol,Roy,0,4,0,0,0,0,0,0,0
Cathy,Creed,0,0,0,0,0,0,0,5,0
Cathy,Dwight,0,0,0,0,0,0,0,85,0
Cathy,Erin,0,0,0,0,0,0,0,11,0
Cathy,Gabe,0,0,0,0,0,0,0,11,0
Cathy,Host,0,0,0,0,0,0,0,3,0
Cathy,Jim,0,0,0,0,0,0,0,100,0
Cathy,Kevin,0,0,0,0,0,0,0,4,0
Cathy,Nellie,0,0,0,0,0,0,0,28,0
Cathy,Pam,0,0,0,0,0,0,0,25,0
Cathy,Phyllis,0,0,0,0,0,0,0,2,0
Cathy,Ryan,0,0,0,0,0,0,0,11,0
Cathy,Stanley,0,0,0,0,0,0,0,5,0
Cathy,Todd Packer,0,0,0,0,0,0,0,19,0
Charles,David Wallace,0,0,0,0,70,0,0,0,0
Charles,Dwight,0,0,0,0,181,0,0,0,0
Charles,Erin,0,0,0,0,11,0,0,0,0
Charles,Jim,0,0,0,0,239,0,0,0,0
Charles,Kelly,0,0,0,0,38,0,0,0,0
Charles,Kevin,0,0,0,0,61,0,0,0,0
Charles,Michael,0,0,0,0,224,0,0,0,0
Charles,Oscar,0,0,0,0,24,0,0,0,0
Charles,Pam,0,0,0,0,97,0,0,0,0
Charles,Phyllis,0,0,0,0,19,0,0,0,0
Charles,Ryan,0,0,0,0,9,0,0,0,0
Charles,Stanley,0,0,0,0,46,0,0,0,0
Charles,Toby,0,0,0,0,3,0,0,0,0
Christian,Jan,0,43,0,0,0,0,0,0,0
Christian,Michael,0,56,0,0,0,0,0,0,0
Clark,Creed,0,0,0,0,0,0,0,0,8
Clark,Darryl,0,0,0,0,0,0,0,0,47
Clark,David Wallace,0,0,0,0,0,0,0,0,19
Clark,Dwight,0,0,0,0,0,0,0,0,354
Clark,Erin,0,0,0,0,0,0,0,0,63
Clark,Esther,0,0,0,0,0,0,0,0,10
Clark,Jan,0,0,0,0,0,0,0,0,7
Clark,Jim,0,0,0,0,0,0,0,0,115
Clark,Kevin,0,0,0,0,0,0,0,0,49
Clark,Meredith,0,0,0,0,0,0,0,0,28
Clark,Nellie,0,0,0,0,0,0,0,0,22
Clark,Oscar,0,0,0,0,0,0,0,0,34
Clark,Pam,0,0,0,0,0,0,0,0,93
Clark,Pete,0,0,0,0,0,0,0,0,66
Clark,Phyllis,0,0,0,0,0,0,0,0,33
Clark,Stanley,0,0,0,0,0,0,0,0,40
Clark,Toby,0,0,0,0,0,0,0,0,15
Creed,Danny,0,0,0,0,0,0,5,0,0
Creed,Darryl,0,0,0,21,4,7,17,17,7
Creed,David Wallace,0,0,0,0,7,0,0,0,10
Creed,Deangelo,0,0,0,0,0,0,2,0,0
Creed,Dwight,0,32,42,22,100,47,18,58,68
Creed,Erin,0,0,0,0,0,20,33,10,47
Creed,Esther,0,0,0,0,0,0,0,0,2
Creed,Gabe,0,0,0,0,0,6,33,2,0
Creed,Helene,0,0,0,0,0,4,0,0,0
Creed,Holly,0,0,0,9,2,0,0,0,0
Creed,Host,0,0,0,0,0,0,0,3,0
Creed,Jada,0,0,0,0,0,0,3,0,0
Creed,Jan,0,2,0,6,7,0,0,0,0
Creed,Jim,0,22,9,45,87,86,34,51,51
Creed,Karen,0,0,9,0,0,0,0,0,0
Creed,Kelly,0,5,6,28,20,15,25,11,0
Creed,Kevin,0,7,20,24,24,25,54,17,47
Creed,Meredith,0,0,16,22,20,23,12,9,32
Creed,Michael,0,119,52,97,99,138,122,0,0
Creed,Nate,0,0,0,0,0,0,0,4,0
Creed,Nellie,0,0,0,0,0,0,0,11,42
Creed,Oscar,0,7,2,23,36,31,14,18,36
Creed,Pam,0,11,23,31,26,55,71,46,85
Creed,Pete,0,0,0,0,0,0,0,0,21
Creed,Phyllis,0,11,9,17,28,31,16,14,40
Creed,Robert California,0,0,0,0,0,0,0,18,0
Creed,Ryan,0,6,4,37,2,14,23,10,0
Creed,Stanley,0,6,2,15,27,14,15,9,20
Creed,Toby,0,12,16,17,2,9,19,15,2
Danny,Dwight,0,0,0,0,0,0,60,0,0
Danny,Gabe,0,0,0,0,0,0,5,0,0
Danny,Jim,0,0,0,0,0,0,86,0,0
Danny,Kevin,0,0,0,0,0,0,18,0,0
Danny,Meredith,0,0,0,0,0,0,37,0,0
Danny,Michael,0,0,0,0,0,0,66,0,0
Danny,Oscar,0,0,0,0,0,0,8,0,0
Danny,Pam,0,0,0,0,0,0,17,0,0
Danny,Ryan,0,0,0,0,0,0,5,0,0
Danny,Todd Packer,0,0,0,0,0,0,10,0,0
Darryl,Deangelo,0,0,0,0,0,0,63,0,0
Darryl,Dwight,0,33,18,23,28,57,105,150,141
Darryl,Erin,0,0,0,0,0,0,36,76,67
Darryl,Gabe,0,0,0,0,0,21,93,38,0
Darryl,Holly,0,0,0,0,60,0,7,0,0
Darryl,Host,0,0,0,0,0,0,0,12,0
Darryl,Jada,0,0,0,0,0,0,28,0,0
Darryl,Jan,0,0,0,4,0,0,0,0,0
Darryl,Jessica,0,0,0,0,0,0,0,9,0
Darryl,Jim,0,7,21,22,21,15,73,144,247
Darryl,Jo,0,0,0,0,0,22,12,0,0
Darryl,Karen,0,0,9,0,0,0,0,0,0
Darryl,Katy,0,3,0,0,0,0,0,0,0
Darryl,Kelly,0,0,15,60,2,17,28,46,0
Darryl,Kevin,0,17,33,22,6,11,116,168,57
Darryl,Meredith,0,0,4,0,2,13,20,27,50
Darryl,Michael,0,142,162,111,162,93,233,0,0
Darryl,Nate,0,0,0,0,0,0,0,47,0
Darryl,Nellie,0,0,0,0,0,0,0,33,62
Darryl,Oscar,0,2,11,11,6,35,73,75,52
Darryl,Pam,0,11,20,43,4,25,122,79,81
Darryl,Pete,0,0,0,0,0,0,0,0,25
