speaker1,speaker2,1,2,3,4,5,6,7,8,9
Brian,Erin,0,0,0,0,0,0,0,0,1
Brian,Jim,0,0,0,0,0,0,0,0,3
Brian,Meredith,0,0,0,0,0,0,0,0,2
Brian,Pam,0,0,0,0,0,0,0,0,8
Captain Jack,Dwight,0,4,0,0,0,0,0,0,0
Captain Jack,Jim,0,1,0,0,0,0,0,0,0
Captain Jack,Meredith,0,2,0,0,0,0,0,0,0
Captain Jack,Michael,0,8,0,0,0,0,0,0,0
Captain Jack,Pam,0,1,0,0,0,0,0,0,0
Captain Jack,Roy,0,2,0,0,0,0,0,0,0
Carol,Dwight,0,6,1,0,0,0,0,0,0
Carol,Jan,0,5,0,0,0,0,0,0,0
Carol,Jim,0,0,1,0,0,0,0,0,0
Carol,Kevin,0,1,1,0,0,0,0,0,0
Carol,Michael,0,13,7,0,0,0,0,0,0
Carol,Pam,0,2,0,0,0,0,0,0,0
Carol,Roy,0,1,0,0,0,0,0,0,0
Cathy,Creed,0,0,0,0,0,0,0,2,0
Cathy,Dwight,0,0,0,0,0,0,0,10,0
Cathy,Erin,0,0,0,0,0,0,0,3,0
Cathy,Gabe,0,0,0,0,0,0,0,3,0
Cathy,Host,0,0,0,0,0,0,0,1,0
Cathy,Jim,0,0,0,0,0,0,0,14,0
Cathy,Kevin,0,0,0,0,0,0,0,2,0
Cathy,Nellie,0,0,0,0,0,0,0,5,0
Cathy,Pam,0,0,0,0,0,0,0,3,0
Cathy,Phyllis,0,0,0,0,0,0,0,1,0
Cathy,Ryan,0,0,0,0,0,0,0,3,0
Cathy,Stanley,0,0,0,0,0,0,0,2,0
Cathy,Todd Packer,0,0,0,0,0,0,0,5,0
Charles,David Wallace,0,0,0,0,10,0,0,0,0
Charles,Dwight,0,0,0,0,23,0,0,0,0
Charles,Erin,0,0,0,0,2,0,0,0,0
Charles,Jim,0,0,0,0,27,0,0,0,0
Charles,Kelly,0,0,0,0,6,0,0,0,0
Charles,Kevin,0,0,0,0,8,0,0,0,0
Charles,Michael,0,0,0,0,20,0,0,0,0
Charles,Oscar,0,0,0,0,2,0,0,0,0
Charles,Pam,0,0,0,0,13,0,0,0,0
Charles,Phyllis,0,0,0,0,4,0,0,0,0
Charles,Ryan,0,0,0,0,3,0,0,0,0
Charles,Stanley,0,0,0,0,5,0,0,0,0
Charles,Toby,0,0,0,0,1,0,0,0,0
Christian,Jan,0,7,0,0,0,0,0,0,0
Christian,Michael,0,7,0,0,0,0,0,0,0
Clark,Creed,0,0,0,0,0,0,0,0,3
Clark,Darryl,0,0,0,0,0,0,0,0,12
Clark,David Wallace,0,0,0,0,0,0,0,0,3
Clark,Dwight,0,0,0,0,0,0,0,0,47
Clark,Erin,0,0,0,0,0,0,0,0,13
Clark,Esther,0,0,0,0,0,0,0,0,1
Clark,Jan,0,0,0,0,0,0,0,0,1
Clark,Jim,0,0,0,0,0,0,0,0,14
Clark,Kevin,0,0,0,0,0,0,0,0,12
Clark,Meredith,0,0,0,0,0,0,0,0,9
Clark,Nellie,0,0,0,0,0,0,0,0,5
Clark,Oscar,0,0,0,0,0,0,0,0,11
Clark,Pam,0,0,0,0,0,0,0,0,15
Clark,Pete,0,0,0,0,0,0,0,0,13
Clark,Phyllis,0,0,0,0,0,0,0,0,10
Clark,Stanley,0,0,0,0,0,0,0,0,11
Clark,Toby,0,0,0,0,0,0,0,0,3
Creed,Danny,0,0,0,0,0,0,1,0,0
Creed,Darryl,0,0,0,3,1,1,4,6,2
Creed,David Wallace,0,0,0,0,1,0,0,0,2
Creed,Deangelo,0,0,0,0,0,0,1,0,0
Creed,Dwight,0,7,10,6,13,14,5,10,13
Creed,Erin,0,0,0,0,0,7,8,3,11
Creed,Esther,0,0,0,0,0,0,0,0,1
Creed,Gabe,0,0,0,0,0,2,6,1,0
Creed,Helene,0,0,0,0,0,1,0,0,0
Creed,Holly,0,0,0,2,1,0,0,0,0
Creed,Host,0,0,0,0,0,0,0,1,0
Creed,Jada,0,0,0,0,0,0,1,0,0
Creed,Jan,0,1,0,1,1,0,0,0,0
Creed,Jim,0,5,4,9,18,15,7,11,9
Creed,Karen,0,0,3,0,0,0,0,0,0
Creed,Kelly,0,2,2,6,6,5,8,3,0
Creed,Kevin,0,2,7,6,9,9,13,7,12
Creed,Meredith,0,0,6,4,7,8,5,4,10
Creed,Michael,0,14,8,15,16,16,11,0,0
Creed,Nate,0,0,0,0,0,0,0,1,0
Creed,Nellie,0,0,0,0,0,0,0,3,10
Creed,Oscar,0,2,1,7,13,10,5,8,9
Creed,Pam,0,4,7,8,6,12,15,9,13
Creed,Pete,0,0,0,0,0,0,0,0,6
Creed,Phyllis,0,4,3,7,9,11,6,5,12
Creed,Robert California,0,0,0,0,0,0,0,5,0
Creed,Ryan,0,2,2,5,1,6,8,3,0
Creed,Stanley,0,2,1,4,10,6,5,4,7
Creed,Toby,0,4,4,5,1,3,3,4,1
Danny,Dwight,0,0,0,0,0,0,7,0,0
Danny,Gabe,0,0,0,0,0,0,1,0,0
Danny,Jim,0,0,0,0,0,0,11,0,0
Danny,Kevin,0,0,0,0,0,0,2,0,0
Danny,Meredith,0,0,0,0,0,0,5,0,0
Danny,Michael,0,0,0,0,0,0,6,0,0
Danny,Oscar,0,0,0,0,0,0,2,0,0
Danny,Pam,0,0,0,0,0,0,2,0,0
Danny,Ryan,0,0,0,0,0,0,1,0,0
Danny,Todd Packer,0,0,0,0,0,0,2,0,0
Darryl,Deangelo,0,0,0,0,0,0,13,0,0
Darryl,Dwight,0,5,2,3,7,7,16,23,27
Darryl,Erin,0,0,0,0,0,0,9,14,14
Darryl,Gabe,0,0,0,0,0,3,18,9,0
Darryl,Holly,0,0,0,0,11,0,2,0,0
Darryl,Host,0,0,0,0,0,0,0,2,0
Darryl,Jada,0,0,0,0,0,0,7,0,0
Darryl,Jan,0,0,0,1,0,0,0,0,0
