speaker1,speaker2,line_count,scene_count,word_count
ALFRED,BRUCE,23,8,269
BATMAN,CATWOMAN,22,9,287
BATMAN,PENGUIN,11,3,120
BRUCE,MAX,21,6,282
BRUCE,SELINA,68,18,716
CATWOMAN,MAX,12,4,138
CATWOMAN,PENGUIN,23,8,339
CHIP,MAX,8,3,86
FAT CLOWN,PENGUIN,8,2,64
MAX,PENGUIN,42,14,782
MAX,SELINA,20,8,354
